ID,Nivel,Prompt,Tempo_ms,JSON_Valido,Arquivo,Acuracia_Semantica,Obs
1,1,"Crie uma rede simples com dois hosts, h1 e h2, conectados a um único switch s1.",2686.18,Sim,case_01_lvl1.json,,
2,1,"Quero uma topologia linear onde o host A conecta ao switch 1, e o host B conecta ao switch 1.",2455.71,Sim,case_02_lvl1.json,,
3,1,"Conecte três hosts (h1, h2, h3) ao switch s1.",2763.23,Sim,case_03_lvl1.json,,
4,1,Gere uma rede com um switch central s1 e quatro hosts conectados a ele.,3376.08,Sim,case_04_lvl1.json,,
5,1,Crie uma topologia ponto-a-ponto conectando h1 diretamente a h2.,2481.48,Sim,case_05_lvl1.json,,
6,1,"Adicione dois switches, s1 e s2, interligados. Conecte h1 em s1 e h2 em s2.",3008.85,Sim,case_06_lvl1.json,,
7,1,Uma rede simples contendo apenas o switch s1 e o host h1.,2281.01,Sim,case_07_lvl1.json,,
8,1,Conecte o host 'servidor' ao switch 'core' e o host 'cliente' ao switch 'core'.,2788.32,Sim,case_08_lvl1.json,,
9,1,"Preciso de uma topologia com 2 hosts e 1 switch, sem configurações especiais.",2498.6,Sim,case_09_lvl1.json,,
10,1,"Defina uma rede básica chamada RedeTeste com versão 1.0 contendo h1, h2 e s1.",2586.86,Sim,case_10_lvl1.json,,
11,2,Conecte h1 e h2 ao switch s1. O link entre h1 e s1 deve ter 100Mbps de banda.,2437.48,Sim,case_11_lvl2.json,,
12,2,"Crie uma rede onde h1 tem o IP 10.0.0.1/24 e h2 tem o IP 10.0.0.2/24, ambos ligados ao s1.",2445.55,Sim,case_12_lvl2.json,,
13,2,Quero uma conexão entre h1 e s1 com um atraso de 10ms.,1930.67,Sim,case_13_lvl2.json,,
14,2,Conecte h1 ao s1 com 50Mbps de banda e 5ms de delay.,2323.93,Sim,case_14_lvl2.json,,
15,2,Defina uma topologia onde o link entre h1 e s1 tenha 1% de perda de pacotes.,2669.24,Sim,case_15_lvl2.json,,
16,2,O host h1 (192.168.0.5) deve conectar ao s1. O link deve ter 1000Mbps.,2090.56,Sim,case_16_lvl2.json,,
17,2,Configure uma rede com h1 e h2. A conexão do h1 deve ter 20ms de latência e a do h2 10ms.,3915.81,Sim,case_17_lvl2.json,,
18,2,Conecte h1 a s1 com banda de 10Mbps e perda de 0.5%.,2861.03,Sim,case_18_lvl2.json,,
19,2,Crie uma rede com h1 e h2. Todos os links devem ter 100Mbps de largura de banda.,3014.18,Sim,case_19_lvl2.json,,
20,2,Host h1 com mac 00:00:00:00:00:01 conectado ao s1 com delay de 2ms.,2098.24,Sim,case_20_lvl2.json,,
21,3,Crie uma rede monitorada. Ative o monitoramento com intervalo de 5 segundos e recuperação automática. Conecte h1 e h2 ao s1.,4263.63,Sim,case_21_lvl3.json,,
22,3,O host h1 é um servidor pesado. Defina o uso máximo de CPU dele para 80% (0.8) e conecte-o ao s1.,2451.18,Sim,case_22_lvl3.json,,
23,3,Preciso limitar a memória do h1 para 512MB. Conecte-o ao s1.,2726.92,Sim,case_23_lvl3.json,,
24,3,Configure um controlador remoto c0 no IP 127.0.0.1 porta 6653 controlando o switch s1 que conecta h1 e h2.,4015.63,Sim,case_24_lvl3.json,,
25,3,Topologia completa: ative o monitoramento a cada 10s. Host h1 (CPU máx 50%) conectado ao s1 (OpenFlow13) com link de 100Mbps.,3311.87,Sim,case_25_lvl3.json,,
26,3,Conecte h1 e h2 ao s1. Configure um controlador remoto e habilite a recuperação de falhas no monitoramento.,3536.57,Sim,case_26_lvl3.json,,
27,3,"Crie uma rede para teste de VoIP: links com 100Mbps e 5ms de delay, monitoramento ativado e h1 com prioridade de CPU (max 0.9).",4143.35,Sim,case_27_lvl3.json,,
28,3,Switch s1 do tipo OVSKernelSwitch conectado a h1 e h2. Defina o monitoramento como ativado mas sem recuperação automática (apenas alerta).,3576.29,Sim,case_28_lvl3.json,,
29,3,Host h1 com 256MB de RAM e IP 10.0.0.1 conectado ao s1. O link deve ter perda de 2%.,3762.24,Sim,case_29_lvl3.json,,
30,3,"Ambiente de alta disponibilidade: Controlador c0, monitoramento agressivo (intervalo 2s, com recuperação), h1 e h2 conectados ao s1.",4272.38,Sim,case_30_lvl3.json,,
